X 0,Y 0,X 1,Y 1,X 2,Y 2,X 3,Y 3,X 4,Y 4,X 5,Y 5,X 6,Y 6,X 7,Y 7,X 8,Y 8,X 9,Y 9,X 10,Y 10,X 11,Y 11,X 12,Y 12,X 13,Y 13,X 14,Y 14,X 15,Y 15,X 16,Y 16,Labels,Image_Name
0.3033125,0.67771935,0.2732138,0.65322727,0.2959296,0.67253697,0.24087039,0.55445796,0.27711836,0.61342615,0.28792173,0.43170562,0.34183368,0.5041055,0.31546688,0.6215885,0.31976306,0.6720337,0.17688799,0.88376576,0.1711847,0.8373477,0.5431304,0.22648902,0.5621289,0.2817894,0.70623744,0.3421239,0.64577615,0.36220697,0.8651041,0.60687554,0.6666249,0.5536787,Downdog,00000372.jpg
0.7357893,0.550547,0.74073553,0.55092835,0.748978,0.5242661,0.72654927,0.5155157,0.73346376,0.45529163,0.66579247,0.4820306,0.6971121,0.4227753,0.70886314,0.5756023,0.7296082,0.54149187,0.8027412,0.65346897,0.8175489,0.6390776,0.5073153,0.42564705,0.52464944,0.38345703,0.43849954,0.32125548,0.4416725,0.29749075,0.2761191,0.5935658,0.283349,0.6012976,Downdog,00000414.jpg
0.53228396,0.5810969,0.52412516,0.5698252,0.5289394,0.58058244,0.51666397,0.5375982,0.51241744,0.565396,0.5072706,0.46567866,0.5062588,0.515125,0.4769682,0.5117397,0.43747503,0.5881074,0.35193413,0.7127146,0.37693673,0.79560596,0.603451,0.3813328,0.5982815,0.42538998,0.71354616,0.2720667,0.72173727,0.31854248,0.82242143,0.5954568,0.8308528,0.614002,Downdog,00000158.jpg
0.34144536,0.3341004,0.34509417,0.3005355,0.3298902,0.30999753,0.36126918,0.26431638,0.31283277,0.28725627,0.3827053,0.29050332,0.29889208,0.30188605,0.47056904,0.46073392,0.25502735,0.47803515,0.55731523,0.6423289,0.19897893,0.6922862,0.36295962,0.334744,0.29122442,0.34657085,0.47237745,0.46310976,0.24214487,0.49564388,0.56128675,0.67370933,0.16858982,0.71274906,Downdog,00000164.jpg
0.43352562,0.7038279,0.42689052,0.6873296,0.42713365,0.6862867,0.4211003,0.6395576,0.40656728,0.64136034,0.4144618,0.5553356,0.4294899,0.5376463,0.3725207,0.6987221,0.45795482,0.66522074,0.28220376,0.898492,0.5239764,0.79894793,0.4962582,0.33798116,0.4814089,0.3426163,0.58390945,0.52711475,0.4738894,0.5304946,0.63773835,0.8013266,0.41833252,0.779963,Downdog,00000170.jpg
0.38268435,0.4210443,0.38932136,0.40271696,0.37753266,0.39950338,0.40775958,0.37352836,0.35946003,0.3665847,0.4079619,0.32326546,0.37391666,0.32754776,0.36166295,0.46061707,0.34275723,0.46759257,0.2624704,0.6235606,0.2807021,0.60364527,0.5014216,0.20091066,0.44093505,0.21091291,0.6144368,0.41693273,0.35274196,0.43999162,0.7195351,0.615766,0.28688988,0.6498854,Downdog,00000038.jpg
0.31974414,0.5314964,0.3042488,0.52163345,0.32052383,0.53646964,0.29341686,0.49458963,0.32225865,0.53036916,0.33847952,0.43830875,0.34250098,0.5179696,0.3492181,0.48029107,0.2787684,0.6125708,0.28755853,0.55168366,0.30241832,0.5770337,0.5692466,0.41848174,0.5655434,0.4718699,0.6506477,0.41555122,0.60956115,0.47170985,0.80930865,0.6018518,0.7253233,0.62187153,Downdog,00000010.jpg
0.35181704,0.65746546,0.3454865,0.6445791,0.34735525,0.64935225,0.34313005,0.5914825,0.3291101,0.6096544,0.33819705,0.4721805,0.35418636,0.5038501,0.31355175,0.5563314,0.32105857,0.59151983,0.17402756,0.797238,0.2702235,0.77135223,0.47464418,0.30348298,0.467614,0.3462173,0.6525724,0.15767163,0.597831,0.23319435,0.71915185,0.53634375,0.6068696,0.6134378,Downdog,00000004.jpg
0.48668373,0.42480463,0.49966237,0.41778216,0.490592,0.41386327,0.52861834,0.41625875,0.48996192,0.404974,0.51446843,0.42104247,0.43936232,0.38884643,0.59060216,0.4917905,0.41592148,0.43646163,0.6756127,0.61193144,0.5738207,0.51611215,0.36431652,0.38661084,0.34337574,0.3705235,0.3015513,0.4238738,0.43569732,0.39690885,0.25492987,0.6231703,0.5195614,0.58580077,Downdog,00000212.jpg
0.52096707,0.40740913,0.53090715,0.40015873,0.51713204,0.39875677,0.54799145,0.3711988,0.5063269,0.36384332,0.5385032,0.35307628,0.49780998,0.39244094,0.45190254,0.46765566,0.42173582,0.54515386,0.29535896,0.664112,0.34138778,0.6915673,0.5837646,0.44585377,0.58821136,0.47645336,0.4660669,0.45174372,0.6685086,0.5613808,0.32234094,0.63404745,0.75389355,0.82364386,Downdog,00000206.jpg
0.62817705,0.6557821,0.640165,0.6686424,0.6554583,0.62134284,0.6452259,0.63914657,0.6678148,0.5314288,0.5706748,0.61064917,0.63023496,0.47416985,0.5922152,0.72462857,0.5998593,0.5729271,0.69582665,0.9005759,0.6790707,0.782328,0.392585,0.42735797,0.4317738,0.34934184,0.35424075,0.48145974,0.3680769,0.42796215,0.14285457,0.73184204,0.15743649,0.7373174,Downdog,00000011.jpg
0.472719,0.6457082,0.45259982,0.6311879,0.4711337,0.64288455,0.40591675,0.5725515,0.44385606,0.60614043,0.3467706,0.46993923,0.47290725,0.516585,0.33113712,0.5572002,0.47547832,0.61875796,0.23257025,0.7764381,0.5140846,0.7912582,0.49846095,0.27369654,0.5640131,0.3260425,0.6778695,0.32469615,0.7118382,0.37637052,0.8763792,0.7085828,0.81359893,0.7086643,Downdog,00000039.jpg
0.48362055,0.6146057,0.48691982,0.60973394,0.47677603,0.6128656,0.50088346,0.61123794,0.46665993,0.62060606,0.5136165,0.6069347,0.46397385,0.6353883,0.54556733,0.64267814,0.43941507,0.71459997,0.55074066,0.70530397,0.41675016,0.7655701,0.52194536,0.62431365,0.51503927,0.63715446,0.48063853,0.5693773,0.6134798,0.5675051,0.42217743,0.74310416,0.7202934,0.72759515,Downdog,00000165.jpg
0.20912376,0.5840878,0.20928255,0.5674193,0.20604989,0.56071544,0.23869288,0.5110063,0.22346178,0.49556103,0.24449117,0.45045295,0.3513213,0.41096526,0.23046453,0.6090786,0.48795462,0.54829216,0.146606,0.7837439,0.5292856,0.73656493,0.44997662,0.27073255,0.5248132,0.26469868,0.47646093,0.4986132,0.6744319,0.4604402,0.4860291,0.71075857,0.7544312,0.6538696,Downdog,00000159.jpg
0.30542657,0.6314764,0.29463044,0.6165153,0.30998418,0.61305124,0.27660888,0.5654629,0.30749252,0.5541102,0.28078145,0.5549421,0.3495792,0.46781877,0.36711857,0.7188093,0.51545346,0.47206774,0.32722014,0.76133907,0.63474524,0.43373737,0.3241811,0.4413068,0.34702647,0.4118964,0.45538104,0.5184334,0.38290417,0.48802042,0.64059895,0.61271197,0.39909017,0.5788479,Downdog,00000415.jpg
0.35437804,0.69611365,0.3449465,0.69156194,0.35537738,0.69063634,0.3330265,0.63304466,0.3407623,0.6370328,0.366644,0.5127605,0.3332367,0.5406037,0.4066772,0.54575586,0.2642429,0.56613773,0.34407115,0.7035023,0.15979457,0.67601234,0.55184543,0.3859382,0.53358936,0.42774764,0.740605,0.35205108,0.70788527,0.37168124,0.85810536,0.41152862,0.8304264,0.41071075,Downdog,00000367.jpg
0.5242883,0.80126727,0.5327271,0.8088932,0.54864395,0.77518636,0.5467749,0.76017153,0.57384574,0.6778109,0.48436636,0.7004561,0.5496634,0.57160157,0.4856372,0.75866795,0.49243212,0.5885692,0.5426462,0.8327314,0.50479895,0.694058,0.31831107,0.5132163,0.36160493,0.43639788,0.2528085,0.68020016,0.27403346,0.61546844,0.114058994,0.85088396,0.11133361,0.8272425,Downdog,00000417.jpg
0.6357658,0.34964615,0.66024673,0.33012092,0.62509644,0.3200584,0.7035214,0.33076757,0.6035554,0.3055092,0.70346135,0.31924415,0.56462634,0.33510292,0.74635994,0.40092528,0.58084023,0.50117767,0.7903305,0.584864,0.7263298,0.52421,0.63390845,0.39390987,0.58469844,0.40387946,0.5482009,0.34957728,0.72680354,0.3366082,0.41085798,0.76039225,0.88650197,0.73396087,Downdog,00000403.jpg
0.37366977,0.6567517,0.36373478,0.6516924,0.36962518,0.65991515,0.35009155,0.6298883,0.35531253,0.65530545,0.37602,0.53437793,0.37778506,0.6123204,0.4150533,0.5626756,0.3722577,0.6728383,0.33979344,0.78698015,0.26750693,0.7703002,0.54581773,0.4334663,0.5480112,0.4945528,0.6828991,0.2256273,0.6774856,0.27619776,0.7674381,0.47996742,0.7818798,0.50932866,Downdog,00000173.jpg
0.5419721,0.30309325,0.54044926,0.28514242,0.5271553,0.29308754,0.55459756,0.28738576,0.5075095,0.3149788,0.5998708,0.32868516,0.50082225,0.3641539,0.69769084,0.45060518,0.4850474,0.52148086,0.7457529,0.66449577,0.52912676,0.6167878,0.5568756,0.4193219,0.5105706,0.4266152,0.51550835,0.30098048,0.56263644,0.32075393,0.35187215,0.68433887,0.49734917,0.6933756,Downdog,00000007.jpg
0.64837754,0.49035686,0.65150005,0.47418675,0.65182596,0.475296,0.66208065,0.4256632,0.6483675,0.43317762,0.6371759,0.40664655,0.61566865,0.41671425,0.6734117,0.50457656,0.61877227,0.57351935,0.7631587,0.7546095,0.7415605,0.7675706,0.4171563,0.2899975,0.4037649,0.2635397,0.31297374,0.4681174,0.31123525,0.4430026,0.1837633,0.68117315,0.16696963,0.6339275,Downdog,00000210.jpg
0.24950048,0.5102729,0.23408638,0.49355754,0.25865,0.5041332,0.2352109,0.43448552,0.26410788,0.46171772,0.2739338,0.34789547,0.30410975,0.4227053,0.29214805,0.45842594,0.2787743,0.58910716,0.19650373,0.74822885,0.2794735,0.76369804,0.48019037,0.24784283,0.44546738,0.29368874,0.65666294,0.30132344,0.3310955,0.3738819,0.85533845,0.59648573,0.25513566,0.657114,Downdog,00000204.jpg
0.5267727,0.5494425,0.5330734,0.55963147,0.5377687,0.53145605,0.5369854,0.5369839,0.53225803,0.4724652,0.5052037,0.48216453,0.48426405,0.4103644,0.532423,0.538558,0.48256344,0.48580056,0.58446074,0.7174642,0.62943876,0.6695502,0.4014132,0.43514556,0.3997954,0.39648923,0.3403892,0.26479754,0.43986064,0.21934845,0.2021637,0.66388506,0.41800007,0.62326705,Downdog,00000012.jpg
0.43949705,0.34189123,0.4426598,0.32754123,0.4406661,0.3304436,0.45241982,0.30116782,0.44236082,0.3072342,0.46016917,0.31770185,0.4036808,0.3204847,0.4655346,0.483659,0.35363144,0.5100532,0.5013784,0.6749956,0.5219465,0.6089703,0.42315412,0.39457497,0.4225862,0.39678383,0.30941337,0.36400115,0.5082853,0.33793423,0.24383445,0.6991615,0.6464797,0.6220998,Downdog,00000199.jpg
0.38482746,0.53333765,0.36542836,0.51250124,0.3810514,0.5329351,0.33956432,0.4635049,0.36424407,0.51602966,0.3270832,0.37472522,0.38747168,0.46026078,0.32146427,0.45986813,0.35002062,0.5927658,0.24496238,0.62164706,0.39014262,0.62198377,0.46004376,0.27281427,0.4624907,0.3330723,0.6336871,0.12121068,0.4698605,0.22442406,0.7694254,0.54169905,0.41519326,0.62199306,Downdog,00000166.jpg
0.40923375,0.6771102,0.3959248,0.6541382,0.39997888,0.66948694,0.40735078,0.5813725,0.39393532,0.62712985,0.4416043,0.4568961,0.4605566,0.49375385,0.43381634,0.50422955,0.45235157,0.55106235,0.30317152,0.67797756,0.4276274,0.67044216,0.55334127,0.21848781,0.5181201,0.2282012,0.6929652,0.48501143,0.4204162,0.47905234,0.8073683,0.7691077,0.26217705,0.7112838,Downdog,00000416.jpg
0.35627264,0.5771108,0.32348213,0.5719678,0.3596793,0.5815937,0.26544592,0.53155243,0.35371384,0.5657832,0.25771612,0.45184454,0.42189986,0.5059882,0.3324178,0.48656017,0.44568387,0.5538277,0.3123529,0.68322396,0.37600732,0.65526474,0.42303008,0.37506709,0.53625643,0.41580313,0.57642883,0.22522904,0.714205,0.26550952,0.6371216,0.5515629,0.7193572,0.5566627,Downdog,00000358.jpg
0.44182438,0.606951,0.42925757,0.58793616,0.4356411,0.6134106,0.40802297,0.49958313,0.4142673,0.5628592,0.39348274,0.31836757,0.42432064,0.44096175,0.43480152,0.2403435,0.42692128,0.46925536,0.37622607,0.3784667,0.4225799,0.59713995,0.46204987,0.22666664,0.47802964,0.300947,0.59504306,0.20225658,0.602105,0.27647525,0.7819286,0.4643222,0.73901767,0.48805043,Downdog,00000412.jpg
0.5507639,0.4618368,0.55181736,0.4452008,0.54643667,0.4453622,0.55232733,0.4301721,0.52637386,0.43768063,0.54419774,0.42062554,0.515073,0.45707905,0.4515361,0.55917066,0.39566064,0.6351188,0.3169473,0.7813669,0.33581913,0.7937678,0.5681695,0.392854,0.5525871,0.4079173,0.53123623,0.43048212,0.5398961,0.45524767,0.47915816,0.74679244,0.5028495,0.76399165,Downdog,00000406.jpg
0.46533504,0.65065277,0.44570988,0.64573747,0.46440712,0.66403335,0.42222238,0.61094093,0.4622611,0.6543042,0.42998332,0.5176148,0.50247526,0.5659088,0.4260996,0.5037722,0.50926054,0.5534152,0.28563598,0.6687461,0.5261251,0.65734553,0.54154986,0.40358442,0.58619124,0.43638176,0.5739365,0.27475968,0.6654271,0.3167613,0.66261864,0.5369771,0.7338346,0.53124326,Downdog,00000360.jpg
0.5006077,0.48700193,0.4830596,0.46535817,0.49652794,0.4608796,0.48245528,0.37542096,0.5017711,0.37696818,0.5286973,0.31422374,0.5376552,0.3079402,0.50859153,0.4611064,0.49606234,0.4410018,0.19169903,0.6805927,0.26769707,0.6141251,0.5203462,0.35125446,0.49938026,0.32067376,0.6171289,0.45330665,0.3985595,0.42350757,0.5033198,0.7174722,0.114818,0.69559896,Downdog,00000176.jpg
0.48146462,0.34704944,0.49400026,0.34139803,0.47809753,0.3319971,0.50148326,0.32404748,0.45778966,0.30249265,0.47259998,0.32547915,0.40885234,0.3026504,0.53816855,0.425085,0.44898063,0.4300989,0.63819736,0.54152876,0.6155269,0.56756055,0.4018773,0.3954567,0.3997872,0.39938056,0.41678604,0.5089098,0.652109,0.49842313,0.34541032,0.68779856,0.81611073,0.67274433,Downdog,00000162.jpg
0.4581812,0.28884396,0.47335878,0.2748711,0.47154075,0.2718754,0.48796874,0.26727468,0.47639102,0.2517637,0.46899652,0.29404458,0.40019828,0.27573025,0.498032,0.44823065,0.29657653,0.44843796,0.676122,0.64305633,0.4089157,0.6935971,0.45342654,0.4794169,0.42290458,0.48900434,0.419048,0.36956155,0.44932443,0.36114424,0.5452217,0.80231684,0.6578312,0.7562001,Downdog,00000002.jpg
0.65397066,0.54871726,0.6616365,0.56213033,0.68210775,0.5119294,0.65601075,0.52743673,0.6917981,0.40823337,0.597087,0.4971774,0.6312758,0.34417835,0.6431985,0.60469824,0.6175775,0.43936622,0.7416374,0.81853604,0.72521293,0.6473388,0.37436384,0.36917707,0.3986374,0.26496154,0.25533652,0.41726997,0.26234514,0.3114025,0.0715642,0.78769016,0.07876837,0.7085339,Downdog,00000016.jpg
0.4658627,0.0625702,0.46641716,0.03057132,0.46236914,0.035608497,0.46936005,0.024695775,0.45849338,0.034956973,0.46297783,0.114817634,0.43979996,0.05928414,0.496529,0.40538117,0.448979,0.27224678,0.5820087,0.6881191,0.5152702,0.59254956,0.40461683,0.2342941,0.3586921,0.21235617,0.50962913,0.45310044,0.2527395,0.42573518,0.6319705,0.7975063,0.14965382,0.7492696,Downdog,00000214.jpg
0.45060316,0.70901656,0.4405121,0.6971303,0.44791943,0.70370746,0.4304006,0.6367329,0.43375808,0.6562469,0.43665114,0.49843922,0.45647597,0.5376609,0.4221959,0.5312835,0.42724887,0.60221213,0.2835668,0.70651376,0.38866338,0.73960406,0.5309285,0.3116337,0.5173193,0.3365552,0.66063666,0.3505621,0.523744,0.38321534,0.74387,0.6374056,0.47360292,0.6467763,Downdog,00000201.jpg
0.43320647,0.6228875,0.41474253,0.60084945,0.42164493,0.6214297,0.41055384,0.5277209,0.4173874,0.58146834,0.47412103,0.4694441,0.46076956,0.502331,0.45546108,0.63924474,0.39475912,0.6138984,0.29186344,0.82864606,0.28039658,0.7905791,0.6765942,0.35815924,0.66722995,0.3874119,0.72784007,0.44164187,0.7350744,0.4554789,0.84849834,0.5313872,0.8165677,0.49456558,Downdog,00000017.jpg
0.46965265,0.33845827,0.47837797,0.32681102,0.47258958,0.32254687,0.48228532,0.31660038,0.4643095,0.3028843,0.45000815,0.34854433,0.41522455,0.33955336,0.3681823,0.5243885,0.2958347,0.5317182,0.29945442,0.7161751,0.33335245,0.7034072,0.4498802,0.47944885,0.4582736,0.49030623,0.36259738,0.34093776,0.5790435,0.35059395,0.3258471,0.78040725,0.75833243,0.772487,Downdog,00000003.jpg
0.5057635,0.35236225,0.500206,0.3264385,0.50376374,0.337209,0.50293267,0.28256837,0.49623865,0.30411595,0.5309602,0.27756602,0.4687234,0.25418448,0.5987096,0.476603,0.42691526,0.42064926,0.6623828,0.64628714,0.52895445,0.60387564,0.47634324,0.30077657,0.41720605,0.28803718,0.49038014,0.2692233,0.29597896,0.27901548,0.54850686,0.63170815,0.19815893,0.62700516,Downdog,00000163.jpg
0.3993704,0.4225752,0.39416388,0.4047926,0.3901666,0.4235644,0.40486526,0.39701983,0.38219088,0.44649947,0.44015568,0.36696446,0.41578022,0.45764253,0.5196835,0.49344507,0.4446438,0.63699156,0.47297016,0.7311423,0.40219766,0.71574014,0.5325595,0.36527175,0.53153074,0.4180819,0.6212716,0.20884603,0.71504194,0.23685114,0.6485704,0.63477665,0.85093534,0.61737895,Downdog,00000377.jpg
0.567655,0.56401294,0.5580836,0.5513819,0.56865275,0.5467368,0.55056465,0.47468543,0.5858719,0.46609765,0.49644834,0.37662238,0.6637669,0.31916368,0.4747092,0.47692847,0.76120365,0.33330092,0.36068243,0.64296085,0.73310095,0.3724615,0.47612602,0.20396122,0.61937416,0.1771641,0.47130138,0.50241673,0.84410155,0.4425064,0.40879196,0.69514763,0.91773605,0.6093616,Downdog,00000161.jpg
0.42013478,0.2317787,0.42520028,0.20873639,0.4041783,0.21791907,0.44520134,0.20264152,0.39629167,0.22418426,0.46445322,0.23878041,0.4441866,0.26904982,0.5686852,0.3559212,0.5843861,0.43327114,0.6242954,0.4772387,0.6322447,0.5337832,0.41950616,0.37661186,0.4113853,0.3783911,0.37564725,0.4814095,0.40437603,0.48434454,0.32851386,0.7728377,0.3884249,0.77523726,Downdog,00000175.jpg
0.57906455,0.805719,0.5899788,0.8152889,0.59269065,0.77637374,0.60155815,0.7872877,0.592552,0.69688904,0.5578086,0.7218901,0.5766144,0.58718085,0.56960166,0.76594865,0.58868957,0.5901543,0.6230982,0.8311049,0.7380131,0.7290475,0.42560658,0.46393326,0.433043,0.3822405,0.3351372,0.57453847,0.33675864,0.5078061,0.17583258,0.7849745,0.16875172,0.7586702,Downdog,00000001.jpg
0.5107352,0.7347324,0.49700016,0.723693,0.5063141,0.73042154,0.47769246,0.6787102,0.4866435,0.70360553,0.47943115,0.5788855,0.53292835,0.66355336,0.44846708,0.59035957,0.48212424,0.75518656,0.34312534,0.797437,0.4670989,0.8666728,0.65252686,0.44166666,0.68992484,0.49214336,0.6225646,0.309022,0.69018364,0.38626134,0.6041061,0.6715646,0.68630123,0.7343671,Downdog,00000029.jpg
0.55320776,0.62094885,0.54491913,0.60176384,0.5488569,0.6153098,0.55325127,0.53400517,0.5420146,0.5732726,0.57143736,0.43342072,0.58258545,0.51892394,0.49459323,0.5123079,0.49506825,0.6537974,0.32461837,0.80291814,0.44923276,0.77499706,0.6791948,0.3581525,0.7078836,0.39768913,0.54378897,0.20869742,0.73888123,0.29397038,0.42432165,0.70025027,0.75704974,0.78544873,Downdog,00000000.jpg
0.58255184,0.68435234,0.5877596,0.7049213,0.6078929,0.6507883,0.5850298,0.6591379,0.62226427,0.5337628,0.53686994,0.5925522,0.586473,0.42858443,0.5992461,0.6466745,0.56776917,0.46090782,0.6930516,0.8065339,0.6304072,0.67834914,0.3891911,0.39679065,0.42642125,0.30303726,0.34944686,0.3756869,0.36010528,0.29071072,0.15019056,0.6643938,0.15877366,0.63161325,Downdog,00000014.jpg
0.5114461,0.6893015,0.51153344,0.67936504,0.51328886,0.67955995,0.5072791,0.645463,0.5054139,0.64638704,0.46927005,0.6155988,0.4908598,0.6111503,0.48156777,0.6787399,0.49548215,0.69164914,0.5108162,0.8065767,0.5535014,0.80373466,0.3226172,0.51874924,0.33388394,0.4970626,0.2268854,0.5858721,0.246279,0.58812696,0.14361405,0.7694236,0.14085701,0.7766516,Downdog,00000376.jpg
